question,document
"I just found this course — is it still okay to join now, or am I too late?",74eb249bbf
Can I still enroll if I discovered the course after it already started?,74eb249bbf
"If I join the course late, can I still get a certificate somehow?",74eb249bbf
What do I need to do to be eligible for the certificate if I start the course now?,74eb249bbf
"Is it fine to take the course after it has begun, and what’s the deadline for the project if I want certification?",74eb249bbf
"I signed up for LLM Zoomcamp, but I haven't gotten any confirmation email yet. Is that a problem or can I just start anyway?",977bf7786c
Do I actually need to wait for an acceptance email before I can begin the course and submit homework?,977bf7786c
"Is registration required to be allowed into the LLM Zoomcamp, or is it just for interest tracking?",977bf7786c
"If I already filled out the registration form, does that mean I'm officially accepted even without a confirmation message?",977bf7786c
"Will homework submissions be checked against a list of registered students, or can anyone submit while the form is open?",977bf7786c
How do I join the Office Hours or live workshop if I don't have the Zoom link?,489dd1c9d9
Where is the live stream link for workshop sessions usually announced before they start?,489dd1c9d9
"Can students get the Zoom URL for office hours, or is it only for the presenters and TAs?",489dd1c9d9
"If I want to ask a question during the live session, should I use chat or Slido?",489dd1c9d9
"Is there another place to watch the live sessions besides Zoom, like YouTube?",489dd1c9d9
How do I get started with the LLM Zoomcamp and what should I check first?,04919992b3
What’s the usual weekly flow for this course after I watch the lessons?,04919992b3
"Do I have to start on a fixed date, or can I join the course anytime?",04919992b3
"Where do I find the videos, notebooks, homework, and deadline info for the course?",04919992b3
"Is homework basically the same as the lesson exercises, or is it different?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name?,c2903069a0
"Why do I show up with some random nickname like ""Lucid Elbakyan"" on the leaderboard?",c2903069a0
Where can I check what my display name is for the course?,c2903069a0
Can I change the name shown on the leaderboard to my Slack or GitHub username?,c2903069a0
What name should I put if I want my certificate to show my real full name instead of the random one?,c2903069a0
"Can I do the course on my own pace and still get the certificate, or do I need to join a live cohort?",69d122f12e
"If I only study the lessons in self-paced mode, is that enough to earn the course certificate?",69d122f12e
"What exactly do I need to complete for the certificate: homework, capstone, peer reviews, or all of them?",69d122f12e
Can I prepare the capstone project before the cohort starts and submit it later for the certificate?,69d122f12e
Is it possible to finish the course material offline and then get the certificate once a live cohort opens submissions?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to submit all the homework to earn the course certificate?,9f689c185f
"Is the capstone project enough to get the certificate, or are the homework assignments required too?",9f689c185f
"If homework isn’t mandatory, what actually decides whether I get the certificate?",9f689c185f
"Do homework scores affect the certificate, or are they only used for the leaderboard?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
When can I tell that a homework is actually final and ready to do?,96286b4be4
Is it safe to start a homework early if it still says DRAFT?,96286b4be4
Can the homework instructions or tasks still be updated after I see them?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course session starts?,bd31146b0e
"Is there an upcoming run of the course, and if so, when?",bd31146b0e
When can I expect this course to be offered again?,bd31146b0e
What’s the next scheduled offering for this course?,bd31146b0e
"Are the lecture videos available somewhere, and where do I find the right ones for each lesson?",31456f4b5f
What’s the main place I should start with for this course if I want the videos and materials?,31456f4b5f
"Do the lesson pages include links to the videos, or do I need to search YouTube separately?",31456f4b5f
"Is the GitHub repo the main source for the course content, or is the YouTube playlist better to use?",31456f4b5f
Where can I find the videos for each lecture without getting lost in old links?,31456f4b5f
"How do I keep track of the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?",20c5a1347e
Is there a course platform for checking the current cohort structure and upcoming assignments in LLM Zoomcamp?,20c5a1347e
Where should I go to see the latest LLM Zoomcamp deadlines and follow my progress through the course?,20c5a1347e
"Does LLM Zoomcamp have a management site for syllabus updates, homework, and deadline tracking like the other Zoomcamps?",20c5a1347e
"What’s the official place to monitor the LLM Zoomcamp course structure, homework, and progress?",20c5a1347e
"Do you guys have live sessions or office hours for every module, or is the course mostly pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help and is there a proper way to do it?",d65e05bd7a
How do I know when a live session is happening for this course?,d65e05bd7a
"Is there any extra support option with regular Zoom office hours, or is everything only in the free course materials?",d65e05bd7a
"Are the module lessons available in the repo, and do I need to wait for live classes to follow along?",d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
Are Bluesky updates accepted as learning in public evidence for course credits?,dbf5369006
"Does posting on Bluesky qualify for the learning in public requirement, or is it not allowed?",dbf5369006
"If I share my course progress on Bluesky, will that be accepted for public learning credits?",dbf5369006
Can I use a Bluesky post as proof for the learning in public credit requirement?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the Telegram link for the course?,054f3fd58f
Where do I find the LLM Zoomcamp Telegram group for announcements?,054f3fd58f
Is there a Telegram channel I should join for LLM Zoomcamp updates?,054f3fd58f
"What Telegram channel does LLM Zoomcamp use, and where should technical questions go?",054f3fd58f
Why does the FAQ dataset have a different number of docs than in the video?,e2d595f23c
My RAG answers don't match the lecture — could the live FAQ data be the reason?,e2d595f23c
"If I download the newest dataset, why do my retrieval results change from the video?",e2d595f23c
Does a different Git commit or dataset snapshot affect the FAQ index and final answer?,e2d595f23c
How can the same notebook give different RAG outputs from the course recording?,e2d595f23c
"If the homework form is still open after the deadline, does that mean I can still turn it in?",a9353fadfe
Can I submit homework late as long as the submission page hasn’t been closed yet?,a9353fadfe
"The due date already passed, but the form is still available — is it okay to send my answers now?",a9353fadfe
Do late submissions still count if the homework upload form is open?,a9353fadfe
When exactly does homework submission stop being allowed: after the deadline or only once the form closes?,a9353fadfe
"Can I still turn in homework after the deadline has passed, or is the form closed for good?",cdc3b285e5
Do you ever give individual deadline extensions for homework if someone is behind?,cdc3b285e5
"If I miss one homework assignment, will that stop me from getting the course certificate?",cdc3b285e5
"Are late homework submissions accepted at all, or only while the submission form is still open?",cdc3b285e5
"Does skipping homework affect certification, or does it only change leaderboard points?",cdc3b285e5
"Does the name I enter for the certificate get shown publicly anywhere, or is it private?",651ba06b34
"If I put my real name in the certificate field, will it be shared with anyone outside the course?",651ba06b34
What name shows up on the leaderboard if I use a different name for my certificate?,651ba06b34
"In Edit Course Profile, which field is the public nickname and which one is the certificate name?",651ba06b34
Can I keep my real name off the public leaderboard but still have it on the certificate?,651ba06b34
Does the course certificate mention how many total hours the course has?,5cc511f85b
Will the certificate show the number of hours I completed in the course?,5cc511f85b
Is there any course-hour count printed on the certificate?,5cc511f85b
Can I see the total hours for the course on the certificate?,5cc511f85b
Does the certificate include a hours total anywhere?,5cc511f85b
Why doesn’t this course start with LangChain instead of building everything manually?,b7cdde6b25
"What’s the reason for learning retrieval, prompting, indexing, and evaluation without a framework first?",b7cdde6b25
"Is LangChain just being skipped here, or will we use it later after the basics?",b7cdde6b25
Why is it better to understand the core LLM app parts before using a library like LangChain?,b7cdde6b25
What do you gain by doing the RAG pieces yourself instead of relying on a framework right away?,b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an insufficient credits error?,f5df151c59
"Is the responses.create command broken, or is it just my OpenAI account balance?",f5df151c59
How can I fix the OpenAI error about insufficient credits when using responses.create?,f5df151c59
Why am I seeing an insufficient credits message from OpenAI while running a responses.create call?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI when I call the API?,152af39a53
"Does this error mean my code is broken, or is it something with my OpenAI account?",152af39a53
"How do I fix the ""you exceeded your current quota"" message in the OpenAI API?",152af39a53
Do I need to add payment or credits before using the OpenAI API in this course?,152af39a53
Should I recreate my API key or change the model after topping up my OpenAI account?,152af39a53
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b
Do I need to put a lot of money into my OpenAI account to follow the class?,554d0eb78b
"What's the minimum recharge amount for the OpenAI API, and is it enough for the course?",554d0eb78b
Will using the OpenAI API in the course cost more than a few cents?,554d0eb78b
"Should I budget anything significant for API usage, or is it basically tiny?",554d0eb78b
Do I really need to pay for the OpenAI API to finish the homework in this course?,85384a18e5
"Is an OpenAI subscription required for the RAG module assignments, or can I use something free instead?",85384a18e5
"What if I don't want to spend money on OpenAI API, are there any alternatives I can use for this course?",85384a18e5
Can I complete the course homeworks without buying access to OpenAI services?,85384a18e5
Where can I find the list of free or low-cost OpenAI API alternatives for this course?,85384a18e5
Why does the course use uv instead of pip and virtualenv for the setup?,f81dea8f7e
What’s the main advantage of uv compared to the usual Python tools?,f81dea8f7e
"Do I have to use uv in this course, or can I stick with pip and virtualenv?",f81dea8f7e
Which tools does uv basically replace in the workflow?,f81dea8f7e
"How does uv make managing Python versions, environments, and dependencies easier?",f81dea8f7e
"Why does my Jupyter notebook say OPENAI_API_KEY isn’t found, even though I set it in .env?",86d99bbf21
Do I need python-dotenv for the API key to work in the notebook?,86d99bbf21
What should I run in the notebook to load environment variables before making the OpenAI client?,86d99bbf21
Could the problem be that my variable name in .env is wrong for OpenAI auth?,86d99bbf21
How do I fix an API key not being visible in Jupyter during the RAG module?,86d99bbf21
How do I keep my OpenAI or Groq API key in a .env file and load it in Python?,233dabe430
What’s the easiest way to use python-dotenv for API keys in this RAG project?,233dabe430
Should I add .env to .gitignore if I’m storing API keys there?,233dabe430
How can I read OPENAI_API_KEY and GROQ_API_KEY from environment variables in my code?,233dabe430
Do I need to install anything before loading keys from a .env file?,233dabe430
"Can I switch to a different LLM provider for the homework, or do I have to use the one suggested?",ee43413718
"Is it okay to do the assignment with Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the default one?",ee43413718
"Do I need a paid API to finish the homework, or can I use a free option and still be fine?",ee43413718
"If I use another model provider, what parts of the code usually need to change?",ee43413718
Where can I find a list of OpenAI API alternatives or other model options for this course?,ee43413718
How can I use Google Gemini in the Module 1 notebook with the OpenAI-compatible endpoint?,0ae5c221b9
