question,answer_llm,answer_orig,document
"I just found this course — is it still okay to join now, or am I too late?","Yes — you can still join now. If you want a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still enroll if I discovered the course after it already started?,"Yes. You can still join if you discovered the course after it already started.

If you want to receive a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join the course late, can I still get a certificate somehow?","Yes, but only if you finish the course with a live cohort. You can work through the material late or in self-paced mode, but to get the certificate you must submit your capstone project and complete the required peer reviews while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to be eligible for the certificate if I start the course now?,"To be eligible for the certificate, you need to:

- **Finish the course with a live cohort**
- **Submit a capstone project**
- **Complete the required peer reviews**

You can **work through the material in self-paced mode**, but **project submission and peer review must happen while a live cohort is still accepting them**. Homework is **not required**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it fine to take the course after it has begun, and what’s the deadline for the project if I want certification?","Yes — if you can’t make the first submission window, you can still catch up and submit in the **attempt #2** window.

For certification, you must:
- submit **one** capstone project, and
- complete the required **peer reviews**.

The exact **project deadline** isn’t given in the context here. If you want, I can help interpret the course schedule if you share it.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for LLM Zoomcamp, but I haven't gotten any confirmation email yet. Is that a problem or can I just start anyway?","You don’t need the confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open, even if you never got an email. Registration is just to gauge interest and isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need to wait for an acceptance email before I can begin the course and submit homework?,"You don’t need to wait for an acceptance email. You’re accepted, and you can start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration required to be allowed into the LLM Zoomcamp, or is it just for interest tracking?","Registration is **not required** to join the LLM Zoomcamp. You can start learning and submitting homework while the form is open, and registration is just to **gauge interest** before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already filled out the registration form, does that mean I'm officially accepted even without a confirmation message?","Yes. If you’ve already filled out the registration form, you’re considered accepted. You do not need to wait for a confirmation message.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Will homework submissions be checked against a list of registered students, or can anyone submit while the form is open?",Anyone can submit while the form is open. It is **not checked against a registered student list**.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I don't have the Zoom link?,"The Zoom link is only published to instructors, presenters, and TAs.

If you’re a student, you can join the live session via YouTube Live. The video URL is posted in the announcements channel on Telegram and Slack before the session starts, and you can also watch on the DataTalksClub YouTube channel.

Submit questions through Slido when the session is live. Don't post questions in chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where is the live stream link for workshop sessions usually announced before they start?,The live stream video URL is usually posted in the announcements channel on Telegram and Slack before the session starts.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can students get the Zoom URL for office hours, or is it only for the presenters and TAs?",The Zoom link is only published to instructors/presenters/TAs. Students join via YouTube Live and can ask questions through Slido.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
